batch [1000/20019]: loss=0.1090, accuracy=0.00096875
batch [2000/20019]: loss=0.1082, accuracy=0.001
batch [3000/20019]: loss=0.1079, accuracy=0.001359375
batch [4000/20019]: loss=0.1081, accuracy=0.001046875
batch [5000/20019]: loss=0.1080, accuracy=0.001078125
batch [6000/20019]: loss=0.1080, accuracy=0.001125
batch [7000/20019]: loss=0.1080, accuracy=0.000953125
batch [8000/20019]: loss=0.1080, accuracy=0.0010625
batch [9000/20019]: loss=0.1079, accuracy=0.001375
batch [10000/20019]: loss=0.1080, accuracy=0.001375
batch [11000/20019]: loss=0.1080, accuracy=0.00078125
batch [12000/20019]: loss=0.1080, accuracy=0.00084375
batch [13000/20019]: loss=0.1080, accuracy=0.000828125
batch [14000/20019]: loss=0.1080, accuracy=0.0010625
batch [15000/20019]: loss=0.1080, accuracy=0.000875
batch [16000/20019]: loss=0.1080, accuracy=0.0011875
batch [17000/20019]: loss=0.1080, accuracy=0.0009375
batch [18000/20019]: loss=0.1080, accuracy=0.000890625
batch [19000/20019]: loss=0.1080, accuracy=0.00075
batch [20000/20019]: loss=0.1080, accuracy=0.000890625
batch [20019/20019]: loss=0.1125, accuracy=0.001713796058269066
Epoch [1/1] completed:
val loss: 6.9121, val accuracy: 0.0010
Trainig finished, results saved.
